,D,L_amount,Ec,Cfp,Ll,Cr,Ic,TotalCostAuto,TotalCostM
0,9.67529861111111,68.51930555555556,205.5579166666667,171.29826388888893,4.0,11.1,17868.795180625002,851.3785855071669,1837.2245965347227
1,12.476875,71.45631944444443,214.3689583333333,178.64079861111108,3.8,11.0,17820.763052708335,851.2522784088025,1834.5506004097226
2,12.1,74.98166666666667,224.945,187.45416666666665,2.6,6.8,17620.803212916668,842.404844202566,1815.0084046250004
3,10.509479166666669,75.45979166666666,275.77937499999996,213.34947916666664,2.4,5.7,17673.694778680554,849.2606191422993,1827.3992903680555
4,10.866444444444443,71.04048611111111,213.3214583333333,177.70121527777775,0.4,6.3,17664.17670701389,841.6198249201453,1816.2706311180552
5,11.685208333333334,77.25777777777779,231.77333333333337,193.14444444444447,6.6,10.4,17481.084337430555,838.8468664239855,1804.3145101319446
6,12.018819444444444,76.21708333333333,229.45125000000002,190.94270833333334,4.8,10.9,17985.943774791667,861.2417786844421,1854.2973635902779
7,14.724652777777775,69.1092361111111,207.3277083333333,172.77309027777775,8.2,10.5,17810.60240951389,850.723309959819,1832.4737097013888
8,15.490138888888888,68.33236111111111,204.99708333333334,170.8309027777778,7.8,12.7,17417.79116465278,833.2729825874869,1793.6041650763889
9,14.019583333333332,75.67840277777778,227.03520833333334,189.19600694444443,4.6,12.8,17425.341365555556,836.44570990135,1798.7070566944446
10,13.28173611111111,66.88777777777779,200.66333333333336,167.21944444444446,7.0,11.0,17307.590361249997,826.3997279457631,1780.6642652916669
11,13.895555555555555,75.76416666666667,227.29250000000002,189.41041666666666,3.6,10.8,17507.389558402778,839.421280017536,1806.0552197291668
12,14.630625,81.34305555555555,244.02916666666664,203.35763888888886,7.8,5.7,17051.686747083335,820.8877320607245,1762.5647233194445
13,14.98798611111111,68.53708333333333,206.01125,171.54270833333334,3.4,9.7,17716.144578194442,845.2107785909425,1821.9423605972222
14,14.23263888888889,70.70347222222222,212.51041666666666,176.95868055555553,5.6,7.6,17620.04016076389,841.502177259375,1813.0445369097222
15,13.365972222222222,61.189097222222216,183.56729166666665,152.97274305555555,5.6,0.4,17505.943775069445,829.1827514470116,1792.4238879236111
16,11.371736111111112,63.79208333333333,197.57625,162.58020833333333,3.4,10.2,17854.979919583333,849.0310729170425,1833.450019736111
17,13.681388888888888,52.67979166666667,158.239375,131.79947916666666,4.0,7.2,18573.493975972226,875.2192020541147,1896.269401069445
18,11.641875,67.79041666666666,203.37124999999997,169.47604166666665,3.4,10.7,18239.91967875,868.0907170151013,1873.8399262083335
19,11.16986111111111,60.58222222222222,181.74666666666667,151.45555555555555,5.6,8.1,17631.566265347225,836.3627174551993,1807.452057090278
20,11.184236111111112,62.97277777777778,189.51833333333335,157.73194444444445,3.8,10.6,18346.10441777778,870.4906503324058,1881.3711709444449
21,12.839097222222222,63.60173611111111,190.80520833333333,159.00434027777777,3.0,8.6,17849.23694763889,847.8509021660265,1831.2887329583334
22,11.418055555555556,71.93284722222222,215.79854166666667,179.83211805555555,6.0,10.8,18078.87550222222,863.2677372007095,1860.705706472222
23,10.84140277777778,60.18784722222222,180.56354166666665,150.46961805555554,3.2,10.4,17995.220883888887,852.8750473246021,1844.2083293611108
24,9.884284722222224,61.5176388888889,184.5529166666667,153.79409722222226,6.6,10.3,17658.955823194447,838.5982088328303,1811.6504760694445
25,11.22036111111111,68.71520833333334,206.145625,171.78802083333335,8.0,9.2,18061.20481923611,860.6689690223191,1856.3874034513888
26,11.854840277777775,71.71111111111111,215.13333333333333,179.27777777777777,8.0,0.5,17724.016064444444,844.4250786251426,1821.1993126944444
27,13.521388888888888,59.90111111111111,186.10333333333335,152.95277777777778,3.8,10.7,17792.891566319442,844.9990643378292,1825.1970177430555
28,14.560069444444444,60.06652777777778,180.19958333333335,150.16631944444447,7.0,10.2,17504.698794930555,831.9893196773156,1795.7491294930555
29,16.618680555555557,68.65555555555555,205.96666666666664,171.63888888888886,6.0,6.1,17577.991967569444,838.7013935076662,1807.1271759236108
30,15.267569444444446,70.53381944444445,218.80145833333333,179.9345486111111,2.8,10.1,17762.00803215278,849.0548657012722,1828.9745427986113
